"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N362114423211",2015,"LS","PSY","ECON",3.5,2,2.5,3,3.5,3.5,3.5,1.75
"N363114421211",2015,"PPE","ARTS HUM","PPE",4,3.5,2.5,3.5,3.5,3.5,3,1.5
"N364114418211",2015,"ES","US","ES",2.5,4,2,4,4,4.5,4.5,1.75
"N365114414211",2015,"PS","PHIL","ES",3.5,4,4.5,3.5,4,4,4,2.25
"N366114413211",2015,"PSY","ES","MCS",4,4,3,3,4,4,5,2.25
"N367114412211",2015,"PPE",NA,"ANTH",3.5,3.5,3,3,3.5,3.5,3.5,1.75
"N370114424211",2015,"LIT",NA,"ARTS HUM",4,3.5,4.5,4,3,4,4,2.25
"N371114423211",2015,"PSY",NA,"PSY",4.5,4.5,3,4,4.5,4,5,2.25
"N364114410233",2015,"ARTS HUM","LS","ANTH",2.5,4,3,4.5,3.5,5,3.5,2
"N384114405233",2015,"PPE","US","US",4.5,4,4.5,4.5,4.5,4,5,2.25
"N362114412234",2015,"PPE","PSY","PSY",4,4,4,4.5,3.5,4,3.5,2.25
"N302114402241",2015,"PHIL",NA,"ES",5,3.5,4,5,2,4,3.5,2
"N336114408244",2015,"MCS",NA,"MCS",2.5,4.5,3.5,4.5,3,4,3.5,2.25
"N337114405244",2015,"US","ARTS HUM","ARTS HUM",3,3,2.5,4,3,4,4,2
"N339114402244",2015,"LS",NA,"LS",3.5,4,4,4.5,3.5,3.5,4,2.5
"N340114418244",2015,"ARTS HUM","LIT","LS",4,4.5,4,4.5,4,5,4,2.25
"N341114414244",2015,"LS","PPE","LIT",3,4,3,4,3.5,4.5,4,2.5
"N342114413244",2015,"GA","PPE","US",3,3,3,3.5,3,4,4,2
"N343114412244",2015,"MCS","ES","ECON",3,3.5,2.5,2.5,3.5,3.5,3.5,1.5
"N344114410244",2015,"GA","PSY","ES",4,5,4,5,4.5,5,4,2.5
"N345114408244",2015,"PSY",NA,"GA",3,3.5,3,3.5,3.5,3.5,3,1.75
"N346114405244",2015,"ARTS HUM","PPE","LIT",4.5,5,3.5,4.5,3.5,5,3.5,2.25
"N348114402244",2015,"LS","GA","ANTH",3,2.5,3.5,4.5,3.5,4,2.5,2
"N350114414244",2015,"ANTH",NA,"ARTS HUM",3.5,3,3,3,2.5,3.5,2.5,1.5
"N351114413244",2015,"ECON",NA,"MCS",4.5,4.5,4,5,5,4.5,5.5,2.25
"N352114412244",2015,"ANTH","GA","PPE",4,4.5,2.5,4,2.5,4.5,4,2
"N353114410244",2015,"PS","LS","PHIL",4,4.5,3.5,4.5,4.5,4.5,4.5,2.25
"N354114408244",2015,"ECON","ARTS HUM","ECON",3.5,4,3.5,4,3.5,4,3.5,1.75
"N355114405244",2015,"US","ES","US",3,3.5,3.5,3.5,3.5,4,4,2
"N357114402244",2015,"ECON","GA","PSY",4,4,3.5,3.5,3.5,4.5,4,2
"N358114425244",2015,"PPE",NA,"ECON",4,3.5,3.5,4.5,3.5,4.5,3,2
"N359114424244",2015,"ARTS HUM","LIT","GA",3.5,4,4.5,4,3,4.5,3.5,2.25
"N360114413244",2015,"ARTS HUM",NA,"GA",4,4.5,4,5,3,5,3.5,2
"N361114412244",2015,"LIT","ECON","LIT",4,4.5,3,3.5,2.5,4.5,2.5,1.5
"N362114410244",2015,"LS","ECON","LS",3.5,3.5,2.5,4,4,4,3.5,2
"N363114408244",2015,"ES","HIST","ES",3,3.5,3.5,3.5,3.5,4.5,4,2
"N366114402244",2015,"ECON",NA,"MCS",3.5,4,3,4.5,2.5,4,4,2
"N367114425244",2015,"ES",NA,"ES",3,3.5,3.5,4,3,4,3,2
"N368114424244",2015,"PPE","GA","GA",4,4.5,3.5,4.5,4.5,4,3,1.75
"N369114423244",2015,"PPE","ECON","ANTH",4.5,4,4,3.5,3,5,3.5,2
